Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
2002,18-Sep-02,Sarasota,N,51,A,F,Unnamed pond,Sarasota,,,Wading,N,N,Lower leg,M,E,8,,,,N,Y,Florida,
2002,23-Sep-02,Gainesville,N,58,A,M,Unnamed pond,Alachua,Aft,1500,Wading,N,N,Forearm,H,M,11,4,392,M,N,Y,Florida,N
2003,23-Feb-03,Englewood,N,72,A,F,Unnamed pond,Charlotte,Aft,1445,Landscaping,N,N,Arm,H,M,8,3,100,M,N,Y,Florida,
2003,08-Mar-03,Lake Harbor,N,6,C,M,Lake Okeechobee - Lake Harbor,Palm Beach,Aft,1600,Walking,Y,N,Thigh,M,M,9,6,325,M,N,Y,Florida,
2003,02-May-03,Orlando,N,42,A,M,Turkey Creek - Orlando,Orange,Mor,1200,Wading,N,N,Upper thigh,L,E,5,,,,N,Y,Florida,N
2003,31-May-03,Merritt Island,N,42,A,M,Unnamed pond,Brevard,Aft,1630,Fishing,Y,N,Right hand,M,M,7,7,,M,Y,Y,Florida,N
2003,19-Jun-03,Tavares,F,12,C,M,Lake Eustis,Lake,Eve,1900,Swimming,,N,"Torso, head, left arm, left leg",H,M,10,5,339,M,Y,N,Florida,N
2003,17-Aug-03,Wildwood,N,5,C,M,Lake Deaton,Sumter,Aft,1615,Wading,N,Y,Foot,M,M,8,5,,,N,N,Florida,N
2003,20-Aug-03,Salt Springs,N,18,A,F,Juniper Creek,Marion,Aft,1500,Wading,,Y,Right Thigh,M,M,8,2,,F,N,Y,,
2003,29-Aug-03,Salt Springs,N,52,A,M,Lake George,Volusia,Mor,930,Wading,N,N,Left thigh,M,E,12,,,,N,Y,Florida,
